id	top_neigh_count	top2_neigh_count
GBC510166	1	1
GBC511585	1038	1
GBC511587	3	1
GBC511611	1	1
GBC511658	10	2
GBC511672	1038	1
GBC511674	14	10
GBC511677	1038	1
GBC511695	1038	1
GBC511710	1038	2
GBC511750	1038	2
GBC511752	3	1
GBC511756	2	1
GBC511812	1038	1
GBC511987	161	5
GBC512661	1	1
GBC513191	1	1
GBC513450	229	24
GBC513466	24	14
GBC513617	24	16
GBC513619	1	1
GBC513962	14	3
GBC514276	229	14
GBC514313	2	2
GBC514595	1	1
GBC515079	387	291
GBC515130	448	387
GBC515226	387	14
GBC515239	387	311
GBC515281	387	22
GBC515406	448	291
GBC515454	291	5
GBC515460	291	187
GBC515487	291	6
GBC515496	291	14
GBC515535	448	17
GBC515558	448	229
GBC515599	448	14
GBC515645	31	23
GBC515672	7	2
GBC515711	229	29
GBC515721	663	448
GBC515732	198	187
GBC515753	198	24
GBC515764	229	14
GBC515766	198	14
GBC515767	2	1
GBC515778	187	161
GBC515782	198	161
GBC515801	3	2
GBC515809	31	6
GBC515812	229	6
GBC515816	6	4
GBC515856	229	14
GBC515883	311	29
GBC515886	311	31
GBC515888	311	187
GBC515889	311	229
GBC515892	1	1
GBC515897	311	14
GBC515904	311	161
GBC515977	311	28
GBC516008	187	25
GBC516096	31	7
GBC516116	14	7
GBC516254	16	14
GBC516303	25	16
GBC516326	291	60
GBC516341	448	60
GBC516379	60	14
GBC517539	2	1
GBC518665	24	15
GBC519144	440	7
GBC519146	315	7
GBC519647	1	1
GBC519750	2	1
GBC519876	3	2
GBC519953	15	6
GBC520015	16	15
GBC520173	88	15
GBC522030	3	1
GBC522216	1	1
GBC523097	5	1
GBC523120	387	19
GBC524176	2	2
GBC524183	2	1
GBC525535	291	16
GBC525557	229	16
GBC525558	198	16
GBC525561	16	14
GBC525573	16	14
GBC525581	311	16
GBC525606	16	7
GBC527088	8	2
GBC527089	1038	1
GBC527091	3	2
GBC527469	2	1
GBC527477	80	1
GBC527957	7	3
GBC527962	441	1
GBC528337	44	1
GBC528508	441	1
GBC528513	3	1
GBC528519	7	4
GBC528527	441	1
GBC529954	663	14
GBC530251	441	1
GBC530473	2	2
GBC530490	219	1
GBC530904	663	29
GBC530908	663	31
GBC530910	663	187
GBC530912	663	229
GBC530914	663	198
GBC530916	9	6
GBC530923	663	14
GBC530927	663	161
GBC530934	3	2
GBC530936	6	1
GBC530951	5	2
GBC530952	663	311
GBC533240	2	1
GBC534595	2	1
GBC535005	514	7
GBC535180	219	1
GBC535250	219	1
GBC535257	2	1
GBC535296	4	2
GBC535311	219	1
GBC536767	195	1
GBC538089	8	3
GBC538606	4	2
GBC539164	195	3
GBC539182	195	43
GBC539204	195	5
GBC539306	11681	1
GBC539335	43	7
GBC539359	43	3
GBC539360	195	79
GBC539497	3	1
GBC539529	61	7
GBC539534	61	9
GBC539565	61	1
GBC539762	11681	3
GBC539770	64	56
GBC539813	64	61
GBC539907	5659	1
GBC540985	56	54
GBC541214	64	54
GBC543286	195	62
GBC543346	62	61
GBC543497	64	62
GBC543572	11	4
GBC543632	5	4
GBC543633	1881	2
GBC544302	62	54
GBC544426	663	16
GBC544447	1	1
GBC546890	1	1
GBC547245	24	18
GBC554047	1	1
GBC554349	446	8
GBC554351	1	1
GBC554561	3	1
GBC554566	130	1
GBC554574	130	1
GBC554583	130	1
GBC554585	4	3
GBC557856	3	2
GBC558403	139	27
GBC558456	345	27
GBC558459	88	27
GBC558509	116	109
GBC559736	109	56
GBC560083	109	1
GBC560084	109	7
GBC560431	2	2
GBC561140	192	139
GBC561180	345	192
GBC561189	192	7
GBC561197	192	168
GBC561416	41	3
GBC561443	192	12
GBC561458	3	1
GBC561468	5	3
GBC561605	345	139
GBC561710	345	5
GBC561734	345	3
GBC561783	345	240
GBC561816	168	2
GBC561853	168	88
GBC561859	5	1
GBC561877	345	5
GBC561889	13	5
GBC561924	168	141
GBC561979	14	5
GBC562132	139	12
GBC562238	139	4
GBC562304	5	3
GBC562305	307	1
GBC562770	141	8
GBC563507	3	3
GBC563633	345	240
GBC563636	240	3
GBC563645	240	168
GBC563653	240	88
GBC563666	240	141
GBC563694	240	14
GBC564437	1	1
GBC564549	1764	102
GBC564558	193	102
GBC564567	1303	102
GBC564576	1481	102
GBC564778	1511	102
GBC564883	240	8
GBC565036	6	2
GBC566224	12	1
GBC567951	3	1
GBC568003	1	1
GBC568144	84	3
GBC568161	168	84
GBC568169	88	84
GBC568652	56	49
GBC568664	2	1
GBC568677	1	1
GBC568743	56	19
GBC568759	56	4
GBC568764	56	4
GBC568794	56	2
GBC570230	1	1
GBC572745	65	18
GBC573605	338	8
GBC574879	3	1
GBC578080	2	1
GBC578818	43	8
GBC578823	228	8
GBC579313	1	1
GBC581465	116	52
GBC581470	116	47
GBC581479	116	2
GBC582780	52	47
GBC582793	47	6
GBC582803	116	109
GBC582807	4	1
GBC582812	47	4
GBC582813	10725	1
GBC582898	65	12
GBC582901	65	47
GBC584299	47	6
GBC584564	8	3
GBC584565	307	1
GBC584566	307	1
GBC584567	8	5
GBC584821	111	4
GBC584967	74	4
GBC585218	78	4
GBC587128	116	101
GBC587590	2	2
GBC587815	15	2
GBC588266	2	1
GBC588888	101	12
GBC588902	101	65
GBC589559	31	23
GBC589902	2743	1
GBC590462	1	1
GBC591639	49	15
GBC591666	49	21
GBC591671	49	1
GBC591719	49	1
GBC591872	21	19
GBC591875	2907	2
GBC591909	56	49
GBC591910	2907	2
GBC591922	2907	2
GBC591923	4	1
GBC592049	3	1
GBC592198	15	3
GBC592223	21	3
GBC592226	2907	1
GBC593233	1	1
GBC595374	11	2
GBC595381	516	1
GBC595382	11	8
GBC598668	2	2
GBC598695	127	1
GBC599392	33	11
GBC600320	1936	1
GBC601089	448	23
GBC603979	5	4
GBC604200	5	2
GBC604578	1468	1
GBC604579	8	5
GBC604730	33	22
GBC604733	1468	1
GBC605243	22	1
GBC605250	1468	1
GBC605251	5	1
GBC605398	253	10
GBC605756	10	5
GBC609153	1	1
GBC609914	6	1
GBC609935	18	4
GBC612029	1	1
GBC612220	4	2
GBC612224	108	1
GBC613508	108	1
GBC613521	4	3
GBC614781	84	8
GBC617696	1	1
GBC618532	4	1
GBC620127	2	1
GBC622422	1936	1
GBC622424	16	2
GBC622429	16	6
GBC622445	16	4
GBC623172	27	2
GBC623179	1936	1
GBC623217	27	2
GBC623220	27	4
GBC623231	27	1
GBC623450	1936	1
GBC623461	29	27
GBC623515	3	3
GBC623530	4	3
GBC623531	6	4
GBC623585	1936	1
GBC623587	4	2
GBC623601	4	3
GBC623799	4	2
GBC625677	13	2
GBC625678	13	1
GBC625723	13	1
GBC626249	1	1
GBC627917	1468	1
GBC627919	5	1
GBC631734	47	14
GBC632293	2	1
GBC633460	9	6
GBC633484	14	6
GBC634668	1	1
GBC635270	240	6
GBC635753	1	1
GBC636057	10	2
GBC637739	1	1
GBC638368	1	1
GBC641452	16	5
GBC641735	5	4
GBC642059	1	1
GBC645660	40	1
GBC645662	1	1
GBC647172	353	81
GBC649901	31	1
GBC650891	1	1
GBC651875	1	1
GBC653320	243	81
GBC654206	47	1
GBC654207	1	1
GBC654409	5	1
GBC657154	78	1
GBC657170	168	78
GBC661431	74	26
GBC661442	38	26
GBC661443	2323	2
GBC661462	26	3
GBC661513	26	8
GBC661763	1	1
GBC662478	62	1
